get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos,response.leagues.africa.jersey,response.leagues.africa.active,response.leagues.africa.pos
,,,,2111,Charlie,Brown Jr.,1997-02-02,USA,2019,2,6.0,6.0,1.98,199.0,90.3,St. Joseph's (PA),St. Joseph's (PA)/USA,16.0,True,G,16.0,1.0,G,,,,16.0,1.0,G,,,
,,,,2561,Precious,Achiuwa,1999-09-19,Nigeria,2020,1,6.0,8.0,2.03,225.0,102.1,Memphis,Memphis/Nigeria,5.0,True,F,5.0,1.0,F,5.0,1.0,F,,,,,,
,,,,2636,Immanuel,Quickley,1999-06-17,USA,2020,1,6.0,3.0,1.9,190.0,86.2,Kentucky,Kentucky/USA,5.0,True,G,5.0,1.0,G,,,,,,,,,
,,,,2587,Malachi,Flynn,1998-05-09,USA,2020,1,6.0,1.0,1.85,175.0,79.4,San Diego State,San Diego State/USA,22.0,True,G,22.0,1.0,G,,,,,,,,,
,,,,2607,Nathan,Knight,1997-09-20,USA,2020,1,6.0,10.0,2.08,253.0,114.8,William & Mary,William & Mary/USA,13.0,True,F-C,30.0,1.0,F,,,,,,,,,
,,,,2832,Miles,McBride,2000-09-08,USA,2021,0,6.0,1.0,1.85,195.0,88.5,West Virginia,West Virginia/USA,2.0,True,G,2.0,1.0,G,,,,,,,,,
,,,,2849,Jericho,Sims,1998-10-20,USA,2021,0,6.0,9.0,2.06,250.0,113.4,Texas,Texas/USA,45.0,True,C,45.0,1.0,C,,,,,,,,,
,,,,4006,Jaylen,Martin,,,0,0,6.0,,,196.0,,,,,True,G,,,,,,,,,,,,
,,,,4007,Jacob,Toppin,,,0,0,6.0,,,205.0,,Kentucky,,,True,F,,,,,,,,,,,,
,,,,4083,D.,Skapintsev,,,0,0,,,,,,,,,True,C,,,,,,,,,,,,
,,,,190,Taj,Gibson,1985-06-24,USA,2009,12,6.0,9.0,2.06,232.0,105.2,Southern California,Southern California/USA,67.0,True,F,,,,,,,,,,,,
,,,,84,Alec,Burks,1991-07-20,USA,2011,10,6.0,6.0,1.98,214.0,97.1,Colorado,Colorado/USA,5.0,True,G,,,,,,,,,,,,
,,,,60,Bojan,Bogdanovic,1989-04-18,Croatia,2014,7,6.0,7.0,2.01,226.0,102.5,Fenerbahce,Fenerbahce/Croatia,44.0,True,F,,,,,,,,,,,,
,,,,177,Evan,Fournier,1992-10-29,France,2012,9,6.0,6.0,1.98,205.0,93.0,Poitiers Basket 86,Poitiers Basket 86/France,13.0,True,G-F,,,,,,,,,,10.0,1.0,G-F
,,,,441,Julius,Randle,1994-11-29,USA,2014,7,6.0,8.0,2.03,250.0,113.4,Kentucky,Kentucky/USA,30.0,True,F-C,,,,,,,,,,,,
